44287.01181,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44287.00347,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44287.02917,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44287.025,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44287.02639,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44287.53194,,Media,3-Medio,Mantenimiento Cargo,PERFORMANCE ISSUE
44287.16944,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44288.40278,,Media,3-Medio,Mantenimiento Pasaje,SOFTWARE FAILURE
44287.50903,,Baja,4-Baja,Unidad Control del Servicio,SOFTWARE FAILURE
44287.31389,,Media,2-Alta,Unidad de Operaciones Ordenadores,ACCESS FAILURE
44299.33472,,Media,2-Alta,Unidad de Instalaciones y Telecomunicaciones,HARDWARE FAILURE
44287.37361,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44291.51944,,Media,3-Medio,Mantenimiento Comercial y CRM,ACCESS FAILURE
44291.37083,,Baja,4-Baja,Mantenimiento COBOL,PROCESS FAILURE
44291.39931,,Baja,4-Baja,Unidad de Instalaciones y Telecomunicaciones,PRINTING FAILURE
44291.37153,,Baja,4-Baja,Mantenimiento COBOL,PROCESS FAILURE
44287.50139,,Baja,4-Baja,Unidad de Operaciones Ordenadores,SOFTWARE FAILURE
44287.44444,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44294.56667,,Baja,4-Baja,Unidad de Instalaciones y Telecomunicaciones,SOFTWARE FAILURE
44291.45625,,Baja,4-Baja,Mantenimiento Corporativa y RRHH,SOFTWARE FAILURE
44292.43889,,Media,3-Medio,Unidad de Operaciones Ordenadores,PRINTING FAILURE
44292.48542,,Baja,4-Baja,Mantenimiento Financiero,SOFTWARE FAILURE
44291.38125,,Media,3-Medio,Mantenimiento Herramientas IT & DBAs,ACCESS FAILURE
44287.58889,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44287.98333,,Media,3-Medio,Mantenimiento Pasaje,SOFTWARE FAILURE
44287.51389,,Media,3-Medio,Mantenimiento Operaciones,SOFTWARE FAILURE
44291.37639,,Media,3-Medio,Mantenimiento COBOL,PROCESS FAILURE
44287.56319,,Media,3-Medio,Mantenimiento BI,PERFORMANCE ISSUE
44298.63333,,Baja,4-Baja,Mantenimiento Financiero,SOFTWARE FAILURE
44315.45,,Baja,4-Baja,Unidad de Instalaciones y Telecomunicaciones,TELEPHONY FAILURE
44293.92569,,Media,3-Medio,Unidad de Instalaciones y Telecomunicaciones,HARDWARE FAILURE
44291.60139,,Media,3-Medio,Unidad Seguridad Informática,SECURITY ISSUE
44287.02292,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44292.30764,,Media,3-Medio,Mantenimiento Herramientas IT & DBAs,ACCESS FAILURE
44287.03542,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44287.03611,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44291.48194,,Media,3-Medio,Unidad de Operaciones Ordenadores,PERFORMANCE ISSUE
44287.06042,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44291.54028,,Media,3-Medio,Mantenimiento Movilidad,SOFTWARE FAILURE
44291.36389,,Media,3-Medio,Unidad Control del Servicio,DEFAULT
44293.59306,,Media,3-Medio,Unidad de Operaciones Ordenadores,SOFTWARE FAILURE
44287.25972,,Media,3-Medio,Unidad de Operaciones Ordenadores,PERFORMANCE ISSUE
44287.31319,,Baja,4-Baja,Unidad Control del Servicio,PERFORMANCE ISSUE
44291.39236,,Media,3-Medio,Mantenimiento Pasaje,ACCESS FAILURE
44287.41667,,Media,2-Alta,Unidad de Operaciones Ordenadores,ACCESS FAILURE
44288.66111,,Baja,4-Baja,Unidad de Operaciones Ordenadores,DATA ISSUE
44293.28681,,Baja,4-Baja,Unidad de Operaciones Ordenadores,DATA ISSUE
44287.39792,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44295.56389,,Media,3-Medio,Unidad de Operaciones Ordenadores,PERFORMANCE ISSUE
,,Media,3-Medio,Unidad Control del Servicio,SECURITY ISSUE
44299.52639,,Media,3-Medio,Unidad de Operaciones Ordenadores,SECURITY ISSUE
44287.45833,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44287.46597,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44287.47292,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44294.37778,,Baja,4-Baja,Mantenimiento COBOL,PROCESS FAILURE
44294.33472,,Baja,4-Baja,Unidad de Instalaciones y Telecomunicaciones,TELEPHONY FAILURE
44287.59444,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44291.28889,,Media,3-Medio,Mantenimiento Cargo,PERFORMANCE ISSUE
44295.44653,,Media,3-Medio,Unidad de Instalaciones y Telecomunicaciones,SOFTWARE FAILURE
44287.6375,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44290.17778,,Media,3-Medio,Mantenimiento BI,PERFORMANCE ISSUE
44287.78125,,Media,3-Medio,Mantenimiento BI,PERFORMANCE ISSUE
44287.55903,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44298.53472,,Media,3-Medio,Unidad de Instalaciones y Telecomunicaciones,DEFAULT
44302.70208,,Media,3-Medio,Mantenimiento Herramientas IT & DBAs,SOFTWARE FAILURE
44292.32569,,Media,3-Medio,Mantenimiento Herramientas IT & DBAs,SOFTWARE FAILURE
44287.59722,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44291.37917,,Media,2-Alta,Mantenimiento Pasaje,SOFTWARE FAILURE
44287.62708,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44295.33403,,Baja,4-Baja,Mantenimiento COBOL,PROCESS FAILURE
44294.46736,,Baja,4-Baja,Mantenimiento Operaciones,SOFTWARE FAILURE
44302.625,,Media,3-Medio,Unidad Control del Servicio,SOFTWARE FAILURE
44298.94861,,Media,3-Medio,Unidad de Instalaciones y Telecomunicaciones,SOFTWARE FAILURE
44291.39236,,Media,3-Medio,Mantenimiento Pasaje,ACCESS FAILURE
44287.84306,,Media,3-Medio,Mantenimiento Herramientas IT & DBAs,PERFORMANCE ISSUE
44291.28958,,Media,3-Medio,Mantenimiento Cargo,PERFORMANCE ISSUE
44287.85625,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44287.85833,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44287.87431,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44293.34583,,Baja,4-Baja,Mantenimiento COBOL,SOFTWARE FAILURE
44291.58403,,Media,3-Medio,Mantenimiento Aeropuertos,ACCESS FAILURE
44287.48681,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44287.58472,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44287.49514,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44287.50625,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44287.51181,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44287.64444,,Media,3-Medio,Mantenimiento Comercial y CRM,PERFORMANCE ISSUE
44287.5375,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44287.57778,,Media,2-Alta,Unidad de Operaciones Ordenadores,ACCESS FAILURE
44293.575,,Media,3-Medio,Mantenimiento Comercial y CRM,SOFTWARE FAILURE
44287.69861,,Media,3-Medio,MANTENIMIENTO IB.COM,DATA ISSUE
44287.56389,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44287.52708,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44288.63125,,Media,3-Medio,Unidad de Instalaciones y Telecomunicaciones,SOFTWARE FAILURE
44291.62778,,Media,3-Medio,Unidad de Operaciones Ordenadores,PERFORMANCE ISSUE
44293.53194,,Baja,4-Baja,Mantenimiento COBOL,SOFTWARE FAILURE
,,Media,3-Medio,Unidad de Operaciones Ordenadores,ACCESS FAILURE
44287.64167,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44287.58958,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44287.56181,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44287.61458,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44291.67014,,Media,3-Medio,Mantenimiento Herramientas IT & DBAs,PERFORMANCE ISSUE
44293.34722,,Baja,4-Baja,Mantenimiento COBOL,SOFTWARE FAILURE
44293.34861,,Baja,4-Baja,Mantenimiento COBOL,SOFTWARE FAILURE
44287.58056,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44287.59236,,Baja,4-Baja,Unidad Control del Servicio,PERFORMANCE ISSUE
44288.39653,,Baja,4-Baja,Unidad Control del Servicio,PERFORMANCE ISSUE
44287.58958,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44287.58958,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44287.61806,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44287.59375,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44287.62083,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44287.60903,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
44291.30694,,Media,3-Medio,MANTENIMIENTO IB.COM,PERFORMANCE ISSUE
,,Baja,4-Baja,Unidad de Operaciones Ordenadores,SOFTWARE FAILURE
44287.71319,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
