01/04/2021 0:17,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
01/04/2021 0:05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
01/04/2021 0:42,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
01/04/2021 0:36,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
01/04/2021 0:38,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
01/04/2021 12:46,,Media,3-Medio,Mantenimiento Cargo,PERFORMANCE ISSUE
01/04/2021 4:04,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
02/04/2021 9:40,,Media,3-Medio,Mantenimiento Pasaje,SOFTWARE FAILURE
01/04/2021 12:13,,Baja,4-Baja,Unidad Control del Servicio,SOFTWARE FAILURE
01/04/2021 7:32,,Media,2-Alta,Unidad de Operaciones Ordenadores,ACCESS FAILURE
13/04/2021 8:02,,Media,2-Alta,Unidad de Instalaciones y Telecomunicaciones,HARDWARE FAILURE
01/04/2021 8:58,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
05/04/2021 12:28,,Media,3-Medio,Mantenimiento Comercial y CRM,ACCESS FAILURE
05/04/2021 8:54,,Baja,4-Baja,Mantenimiento COBOL,PROCESS FAILURE
05/04/2021 9:35,,Baja,4-Baja,Unidad de Instalaciones y Telecomunicaciones,PRINTING FAILURE
05/04/2021 8:55,,Baja,4-Baja,Mantenimiento COBOL,PROCESS FAILURE
01/04/2021 12:02,,Baja,4-Baja,Unidad de Operaciones Ordenadores,SOFTWARE FAILURE
01/04/2021 10:40,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
08/04/2021 13:36,,Baja,4-Baja,Unidad de Instalaciones y Telecomunicaciones,SOFTWARE FAILURE
05/04/2021 10:57,,Baja,4-Baja,Mantenimiento Corporativa y RRHH,SOFTWARE FAILURE
06/04/2021 10:32,,Media,3-Medio,Unidad de Operaciones Ordenadores,PRINTING FAILURE
