2021-04-01 00:17:00.000,2021-04-01 00:17:00.000,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE,
2021-04-01 00:05:00.000,2021-04-01 00:05:00.000,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE,
2021-04-01 00:42:00.000,2021-04-01 00:42:00.000,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE,
2021-04-01 00:36:00.000,2021-04-01 00:36:00.000,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE,
2021-04-01 00:38:00.000,2021-04-01 00:38:00.000,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE,
2021-04-01 00:38:00.000,2021-04-01 12:46:00.000,,Media,3-Medio,Mantenimiento Cargo,PERFORMANCE ISSUE,
2021-04-01 04:04:00.000,2021-04-01 04:04:00.000,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE,
2021-04-01 04:31:00.000,2021-04-02 09:40:00.000,,Media,3-Medio,Mantenimiento Pasaje,SOFTWARE FAILURE,
2021-04-01 05:46:00.000,2021-04-01 12:13:00.000,,Baja,4-Baja,Unidad Control del Servicio,SOFTWARE FAILURE,
2021-04-01 06:14:00.000,2021-04-01 07:32:00.000,,Media,2-Alta,Unidad de Operaciones Ordenadores,ACCESS FAILURE,
2021-04-01 08:27:00.000,2021-04-13 08:02:00.000,,Media,2-Alta,Unidad de Instalaciones y Telecomunicaciones,HARDWARE FAILURE,
2021-04-01 08:58:00.000,2021-04-01 08:58:00.000,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE,
2021-04-01 11:22:00.000,2021-04-05 12:28:00.000,,Media,3-Medio,Mantenimiento Comercial y CRM,ACCESS FAILURE,
2021-04-01 09:01:00.000,2021-04-05 08:54:00.000,,Baja,4-Baja,Mantenimiento COBOL,PROCESS FAILURE,
2021-04-01 10:07:00.000,2021-04-05 09:35:00.000,,Baja,4-Baja,Unidad de Instalaciones y Telecomunicaciones,PRINTING FAILURE,
2021-04-01 09:11:00.000,2021-04-05 08:55:00.000,,Baja,4-Baja,Mantenimiento COBOL,PROCESS FAILURE,
2021-04-01 09:31:00.000,2021-04-01 12:02:00.000,,Baja,4-Baja,Unidad de Operaciones Ordenadores,SOFTWARE FAILURE,
2021-04-01 10:40:00.000,2021-04-01 10:40:00.000,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE,
2021-04-01 12:13:00.000,2021-04-08 13:36:00.000,,Baja,4-Baja,Unidad de Instalaciones y Telecomunicaciones,SOFTWARE FAILURE,
2021-04-01 10:13:00.000,2021-04-05 10:57:00.000,,Baja,4-Baja,Mantenimiento Corporativa y RRHH,SOFTWARE FAILURE,
2021-04-01 10:53:00.000,2021-04-06 10:32:00.000,,Media,3-Medio,Unidad de Operaciones Ordenadores,PRINTING FAILURE,
2021-04-01 10:43:00.000,2021-04-06 11:39:00.000,,Baja,4-Baja,Mantenimiento Financiero,SOFTWARE FAILURE,
2021-04-01 10:47:00.000,2021-04-05 09:09:00.000,,Media,3-Medio,Mantenimiento Herramientas IT & DBAs,ACCESS FAILURE,
2021-04-01 14:08:00.000,2021-04-01 14:08:00.000,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE,
2021-04-01 11:02:00.000,2021-04-01 23:36:00.000,,Media,3-Medio,Mantenimiento Pasaje,SOFTWARE FAILURE,
2021-04-01 11:12:00.000,2021-04-01 12:20:00.000,,Media,3-Medio,Mantenimiento Operaciones,SOFTWARE FAILURE,
2021-04-01 11:19:00.000,2021-04-05 09:02:00.000,,Media,3-Medio,Mantenimiento COBOL,PROCESS FAILURE,
2021-04-01 11:22:00.000,2021-04-01 13:31:00.000,,Media,3-Medio,Mantenimiento BI,PERFORMANCE ISSUE,
2021-04-01 11:36:00.000,2021-04-12 15:12:00.000,,Baja,4-Baja,Mantenimiento Financiero,SOFTWARE FAILURE,
2021-04-01 11:45:00.000,2021-04-29 10:48:00.000,,Baja,4-Baja,Unidad de Instalaciones y Telecomunicaciones,TELEPHONY FAILURE,
2021-04-01 11:46:00.000,2021-04-07 22:13:00.000,,Media,3-Medio,Unidad de Instalaciones y Telecomunicaciones,HARDWARE FAILURE,
2021-04-01 00:14:00.000,2021-04-05 14:26:00.000,,Media,3-Medio,Unidad Seguridad Informática,SECURITY ISSUE,
2021-04-01 00:33:00.000,2021-04-01 00:33:00.000,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE,
2021-04-01 01:02:00.000,2021-04-06 07:23:00.000,,Media,3-Medio,Mantenimiento Herramientas IT & DBAs,ACCESS FAILURE,
2021-04-01 00:51:00.000,2021-04-01 00:51:00.000,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE,
2021-04-01 00:52:00.000,2021-04-01 00:52:00.000,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE,
2021-04-01 00:53:00.000,2021-04-05 11:34:00.000,,Media,3-Medio,Unidad de Operaciones Ordenadores,PERFORMANCE ISSUE,
2021-04-01 01:27:00.000,2021-04-01 01:27:00.000,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE,
2021-04-01 01:07:00.000,2021-04-05 12:58:00.000,,Media,3-Medio,Mantenimiento Movilidad,SOFTWARE FAILURE,
2021-04-01 03:32:00.000,2021-04-05 08:44:00.000,,Media,3-Medio,Unidad Control del Servicio,DEFAULT,
2021-04-01 03:58:00.000,2021-04-07 14:14:00.000,,Media,3-Medio,Unidad de Operaciones Ordenadores,SOFTWARE FAILURE,
2021-04-01 04:23:00.000,2021-04-01 06:14:00.000,,Media,3-Medio,Unidad de Operaciones Ordenadores,PERFORMANCE ISSUE,
2021-04-01 07:31:00.000,2021-04-01 07:31:00.000,,Baja,4-Baja,Unidad Control del Servicio,PERFORMANCE ISSUE,
2021-04-01 09:44:00.000,2021-04-05 09:25:00.000,,Media,3-Medio,Mantenimiento Pasaje,ACCESS FAILURE,
2021-04-01 07:47:00.000,2021-04-01 10:00:00.000,,Media,2-Alta,Unidad de Operaciones Ordenadores,ACCESS FAILURE,
2021-04-01 08:20:00.000,2021-04-02 15:52:00.000,,Baja,4-Baja,Unidad de Operaciones Ordenadores,DATA ISSUE,
2021-04-01 08:29:00.000,2021-04-07 06:53:00.000,,Baja,4-Baja,Unidad de Operaciones Ordenadores,DATA ISSUE,
2021-04-01 09:33:00.000,2021-04-01 09:33:00.000,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE,
